id,question_type,tier,calculator,question,correct_answer,created_at,image_url,image_alt,explanation,explain_on,wrong_answers,all_answers,subtopic,difficulty,marks,estimated_time_sec,track
da5ed3c9-d9b6-4524-aadd-5f7c34bb7eb7,Number,11+ Standard,Non-Calculator,Round the number 12.996 to two decimal places.,13.00,2026-02-16T19:06:56.313641,,,"Step 1: Identify the target column (Hundredths), which is 9. Look at the digit to its right (6).
Step 2: Since 6 is 5 or more, round the target digit up.
Step 3: Adding 1 to the 9 in hundredths makes it 10, carrying 1 to the tenths.
Step 4: The 9 in tenths plus the carry makes it 10, carrying 1 to the units.
Step 5: $12 + 1 = 13$. Because the question specifies 2 decimal places, we must include the zeros.
Final Result: 13.00",always,"[""12.99"",""13"",""13.0"",""12.997""]",,number|place-value,1,1,45,11plus
fd5efea4-40e4-4877-9a78-197ac2d6514b,Number,11+ Standard,Non-Calculator,"A whole number rounded to the nearest 50 is 1,250. What is the smallest possible value the number could be?",1225,2026-02-16T19:06:56.313641,,,"Step 1: When rounding to the nearest 50, the ""rounding boundary"" is half of 50, which is 25.
Step 2: To find the smallest number that rounds up to 1,250, subtract the boundary value from the target: $1250 - 25 = 1225$.
Step 3: A number like 1224 would be closer to 1200 than 1250.
Final Result: 1225",always,"[""1224"",""1226"",""1200"",""1249""]",,number|place-value,1,1,60,11plus
ea86b573-553a-49ba-82d3-ad44881440ad,Number,11+ Standard,Non-Calculator,"Which digit is in the hundred-thousands place in the number 42,305,671?",3,2026-02-16T19:06:56.313641,,,"Step 1: Label columns from right: Units(1), Tens(7), Hundreds(6), Thousands(5), Ten-thousands(0), Hundred-thousands(3).
Final Result: 3",always,"[""2"",""0"",""4"",""5""]",,number|place-value,1,1,30,11plus
8f58fd1c-6912-4551-ae91-3a2ce38c4553,Number,11+ Standard,Non-Calculator,How many thousandths are there in the number 0.045?,45,2026-02-16T19:06:56.313641,,,"Step 1: Understand that ""thousandths"" refers to the third decimal place.
Step 2: $0.045$ is forty-five thousandths.
Final Result: 45",always,"[""4.5"",""450"",""0.45"",""5""]",,number|place-value,1,1,30,11plus
7f6d2ce3-7fe4-425e-89a5-2b6acd9e4e71,Number,11+ Standard,Non-Calculator,Calculate $1.01 \div 100$.,0.0101,2026-02-16T19:06:56.313641,,,"Step 1: Dividing by 100 moves the decimal point two places to the left.
Step 2: $1.01 arrow 0.101 arrow 0.0101$.
Final Result: 0.0101",always,"[""0.101"",""101"",""0.00101"",""0.11""]",,number|place-value,1,1,30,11plus
8cec541f-2558-4a35-8935-c34aa978c6b8,Number,11+ Standard,Non-Calculator,Round 0.0044 to three decimal places.,0.004,2026-02-16T19:06:56.313641,,,"Step 1: Target is the 3rd decimal place (4). Look at neighbor (4).
Step 2: Since 4 is less than 5, round down (keep the 4 same).
Final Result: 0.004",always,"[""0.005"",""0.01"",""0.0044"",""0""]",,number|place-value,1,1,30,11plus
efe4c925-56e0-4d65-b220-9b332d3e662c,Number,11+ Standard,Non-Calculator,"What is the sum of 4 units, 4 tenths, and 4 thousandths?",4.404,2026-02-16T19:06:56.313641,,,"Step 1: Units = 4.0. Tenths = 0.4. Hundredths = 0.0. Thousandths = 0.004.
Step 2: Add them: $4.0 + 0.4 + 0 + 0.004 = 4.404$.
Final Result: 4.404",always,"[""4.44"",""4.444"",""4.044"",""44.4""]",,number|place-value,1,1,45,11plus
cb3c0de5-82b7-4768-ac27-6f3cfa0143e0,Number,11+ Standard,Non-Calculator,Multiply 0.0007 by $10^{4}$.,7,2026-02-16T19:06:56.313641,,,"Step 1: $10^{4}$ is 10,000. Move decimal 4 places right.
Step 2: $0.0007 arrow 0.007 arrow 0.07 arrow 0.7 arrow 7$.
Final Result: 7",always,"[""0.7"",""70"",""700"",""0.07""]",,number|place-value,1,1,30,11plus
4c50e822-33bb-4df5-b344-92212bfebfa2,Number,11+ Standard,Non-Calculator,Which number is exactly $0.01$ more than $0.999$?,1.009,2026-02-16T19:06:56.313641,,,"Step 1: Align digits: $0.999 + 0.010$.
Step 2: $9+0=9$. $9+1=10$ (write 0 carry 1). $9+0+1=10$ (write 0 carry 1). $0+1=1$.
Final Result: 1.009",always,"[""1.00"",""1.09"",""1.1"",""0.9991""]",,number|place-value,1,1,45,11plus
bca26b3d-9cb6-4702-a2d2-9659d8bf30e4,Number,11+ Standard,Non-Calculator,"Round 1,000,001 to the nearest ten thousand.",1000000,2026-02-16T19:06:56.313641,,,"Step 1: Ten-thousands place is 0. Look at the neighbor (Thousands) which is 0.
Step 2: Round down.
Final Result: 1000000",always,"[""1010000"",""1000001"",""1100000"",""990000""]",,number|place-value,1,1,30,11plus
a38c7cf1-0c14-4ef4-9733-262a65ba14f3,Number,11+ Standard,Non-Calculator,What is 100 times larger than 0.05?,5,2026-02-16T19:06:56.313641,,,"Step 1: Move decimal 2 places right.
Final Result: 5",always,"[""0.5"",""50"",""0.005"",""500""]",,number|place-value,1,1,30,11plus
