id,question,correct_answer,wrong_answers,all_answers,explanation,explain_on,image_url,image_alt,created_at,track
958861ac-9a2b-4a7d-bb47-f42ca0415c44,The product of three consecutive positive integers is 120. What is the sum of these three integers?,15,"[""12"",""18"",""21"",""14""]","[""15"",""12"",""18"",""21"",""14""]","Step 1 (Trial and error / Estimation): We need $n (n+1) (n+2) = 120$.
Step 2 (Testing values): Try 345 = 60 (too low). Try 456 = 120 (perfect).
Step 3 (Calculating the sum): 4 + 5 + 6 = 15.
Final answer: 15",always,,,2026-02-16T13:27:48.738195,11plus
22849c92-aefb-4fef-bbc2-7f80ebfbe703,"A bag contains 3 red and 3 blue marbles. If two marbles are picked at random without replacement, what is the probability that they are both the same color?",2/5,"[""1/2"",""1/4"",""3/10"",""2/3""]","[""2/5"",""1/2"",""1/4"",""3/10"",""2/3""]","Step 1 (Probability of Red-Red): 1st marble is red (3/6). 2nd marble is red (2/5). Total = (3/6) * (2/5) = 6/30 = 1/5.
Step 2 (Probability of Blue-Blue): 1st is blue (3/6). 2nd is blue (2/5). Total = (3/6) * (2/5) = 1/5.
Step 3 (Combined probability): 1/5 + 1/5 = 2/5.
Step 4 (Alternative method): Total pairings of 6 marbles = (6*5)/2 = 15. Same color pairings: 3 ways for Red, 3 ways for Blue. Total = 6. 6/15 = 2/5.
2/5",always,,,2026-02-16T13:27:48.738195,11plus
f28ff292-6146-4305-b172-5bf32fb76ce1,"You are standing at the bottom-left corner of a 3x3 square grid. You want to reach the top-right corner. If you can only move Right or Up, how many different paths can you take?",20,"[""9"",""12"",""16"",""25""]","[""20"",""9"",""12"",""16"",""25""]","Step 1 (Moves needed): To get from (0,0) to (3,3), you must move Right 3 times and Up 3 times. Total moves $= 6$.
Step 2 (The logic): Any path is a sequence of 6 moves, e.g., RRRUUU or RURURU.
Step 3 (Formula): This is a permutation problem: $Total moves! / (Right moves! × Up moves!)$.
Step 4 (Calculation): $6! ÷ (3! × 3!) = 720 ÷ (6 × 6) = 720 ÷ 36 = 20$.
Final answer: 20",always,,,2026-02-16T13:35:57.233349,11plus
aa23742f-0c68-40a4-8bee-64d0d908eed6,A large 3x3x3 cube is made from 27 small 1cm cubes. The small cube in the center of each of the 6 large faces is removed. How many square centimetres is the total surface area of the remaining shape?,78,"[""54"",""60"",""72"",""84""]","[""78"",""54"",""60"",""72"",""84""]","Step 1 (Original SA): A 3x3x3 cube has 6 faces of area 9. Total SA $= 54cm²$.
Step 2 (Removing a cube): When you remove the center cube of a face, you ""lose"" that 1x1 surface square. $54 - 1 = 53$.
Step 3 (Gaining area): However, removing that cube reveals 5 new interior faces of the hole (the bottom and the 4 walls).
Step 4 (Net change per hole): For each hole, you lose 1 face but gain 5. Net gain $= +4cm²$.
Step 5 (Total change): There are 6 faces, so there are 6 such holes. Total gain $= 6 × 4 = 24cm²$.
Step 6 (Final Calculation): $54 + 24 = 78cm²$.
Final answer: 78",always,,,2026-02-16T13:35:57.233349,11plus
89002e82-4da8-4750-b0be-9ca9b9cd7470,"A shopper can walk up a moving escalator in 30 seconds. If the shopper stands still, the moving escalator takes 60 seconds to carry them to the top. How long would it take the shopper to walk up if the escalator was broken (not moving)?",60 seconds,"[""30 seconds"",""45 seconds"",""90 seconds"",""120 seconds""]","[""60 seconds"",""30 seconds"",""45 seconds"",""90 seconds"",""120 seconds""]","Step 1 (Define rates): Let the distance be 1 unit (the full escalator).
Step 2 (Escalator rate): $R_e = 1/60$ units per second.
Step 3 (Combined rate): $R_w + R_e = 1/30$ units per second.
Step 4 (Calculate walking rate): $R_w = 1/30 - 1/60 = 2/60 - 1/60 = 1/60$.
Step 5 (Find time): Time $= Distance ÷ Rate = 1 ÷ (1/60) = 60$ seconds.
Final answer: 60 seconds",always,,,2026-02-16T13:35:57.233349,11plus
7dd48c62-90ed-41f2-9007-fbe34007e986,Calculate the sum of the digits of the result of the calculation: $10^{5} - 55$.,36,"[""45"",""10"",""38"",""40""]","[""36"",""45"",""10"",""38"",""40""]","Step 1 (Perform subtraction): $10^{5} = 100,000$.
Step 2 (The result): $100,000 - 55 = 99,945$.
Step 3 (Sum the digits): $9 + 9 + 9 + 4 + 5$.
Step 4 (Calculation): $27 + 9 = 36$.
Final answer: 36",always,,,2026-02-16T13:35:57.233349,11plus
fd7ebd11-0f2e-45b8-b3c8-c99413dc80fd,"If you take a standard cube and cut off every corner (vertex) with a single straight slice, how many edges does the new solid have?",36,"[""12"",""24"",""20"",""30""]","[""36"",""12"",""24"",""20"",""30""]","Step 1 (Original Cube): 12 edges, 8 vertices, 6 faces.
Step 2 (The effect of one cut): When you cut off a corner, you remove 1 vertex and create a new triangular face. This new face has 3 new edges.
Step 3 (Counting new edges): The original 12 edges are shortened but still exist.
Step 4 (Totaling): Each of the 8 corners produces 3 brand new edges. $8 × 3 = 24$ new edges.
Step 5 (Final sum): $12 (original) + 24 (new) = 36$ edges.
36",always,,,2026-02-16T13:35:57.233349,11plus
81faa704-288c-44c9-ab8d-9491c0e0a9fe,A 20-litre container is filled with a mixture that is 20% pure orange juice and 80% water. How many litres of pure water must be added to the container so that the new mixture is exactly 10% pure orange juice?,20,"[""10"",""40"",""2"",""30""]","[""20"",""10"",""40"",""2"",""30""]","Step 1 (Calculate initial juice): 20% of 20 litres is $0.2 × 20 = 4$ litres of pure juice.
Step 2 (Define the goal): We want these 4 litres of juice to represent exactly 10% of the NEW total volume.
Step 3 (Calculate new total volume): If 10% = 4 litres, then 100% (the total volume) must be $4 × 10 = 40$ litres.
Step 4 (Calculate added volume): The original volume was 20 litres. To reach 40 litres, we must add $40 - 20 = 20$ litres of water.
Step 5 (Check): New total is 40L. Juice is 4L. $4 ÷ 40 = 0.1$, which is 10%. Correct.
Final answer: 20",always,,,2026-02-16T13:28:35.666363,11plus
8bb4fe88-7814-4163-937e-e925c783106a,"A square piece of card has an area of $144cm^{2}$. Four identical smaller squares are cut out from the four corners of the card. If the remaining area of the card is $108cm^{2}$, what is the side length of one of the small squares that were removed?",3cm,"[""6cm"",""9cm"",""4cm"",""2cm""]","[""3cm"",""6cm"",""9cm"",""4cm"",""2cm""]","Step 1 (Calculate total area removed): Total removed = Original Area - Remaining Area = $144 - 108 = 36cm²$.
Step 2 (Calculate area per small square): Since 4 identical squares were removed, the area of one small square is $36 ÷ 4 = 9cm²$.
Step 3 (Find side length): The side length of a square is the square root of its area. $\sqrt{9} = 3cm$.
Step 4 (Check): If side is 3, area is 9. $9 × 4 = 36$. $144 - 36 = 108$. Logic is correct.
Final answer: 3cm",always,,,2026-02-16T13:28:35.666363,11plus
da57b27f-c485-44b4-b5f3-f7d896c37f59,"Five cards are numbered 1, 2, 3, 4, and 5. If two cards are picked at random without replacement, what is the probability that the sum of the numbers on the two cards is a prime number?",1/2,"[""2/5"",""3/10"",""3/5"",""1/4""]","[""1/2"",""2/5"",""3/10"",""3/5"",""1/4""]","Step 1 (List all possible pairs): (1,2), (1,3), (1,4), (1,5), (2,3), (2,4), (2,5), (3,4), (3,5), (4,5). There are 10 unique pairs.
Step 2 (Calculate the sums): The sums are 3, 4, 5, 6, 5, 6, 7, 7, 8, 9.
Step 3 (Identify prime sums): 3 (prime), 5 (prime), 5 (prime), 7 (prime), 7 (prime). There are 5 prime sums.
Step 4 (Calculate probability): $Successful outcomes ÷ Total outcomes = 5 ÷ 10 = 1/2$.
Final answer: 1/2",always,,,2026-02-16T13:28:35.666363,11plus
